Make_Passport,Make_Hallberg-Rassy,Make_Oyster,Make_Nautor,Country_Netherlands,Make_Bestevaer,Make_Southerly,Make_X-Yachts,Country_Greece,Make_Morris,Country_United Kingdom,Make_Contest,Make_Wauquiez,Region_USA,Country_Croatia,Make_Island Packet,"Length 
(ft)",Make_Malo,Make_Jeanneau,Make_Solaris,Year,Make_Grand Soleil,Make_Tartan,Make_Hunter,Make_Elan,Make_Vismara,Make_Nauticat,Country_Connecticut,Make_Bavaria,Make_Moody,GDP,Make_Beneteau,Make_Maxi,Make_Boreal,Make_Najad,Make_Sabre,Region_Caribbean,Make_J Boats,Country_France,Make_Dufour,Listing Price (USD)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,2006,0,0,0,0,0,0,0,0,0,43658.0,0,0,0,0,0,0,0,1,0,358287.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,2009,0,0,0,0,0,0,0,0,0,43658.0,0,0,0,0,0,0,0,1,0,601299.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,2007,0,0,0,0,0,0,0,0,0,43658.0,0,0,0,0,0,0,0,1,0,290312.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,2008,0,0,0,0,0,0,0,0,0,43658.0,0,0,0,0,0,0,0,1,0,289098.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,2008,0,0,0,0,0,0,0,0,0,30103.0,0,0,0,0,0,0,0,0,0,425144.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,2005,0,0,0,0,0,0,0,0,0,43658.0,0,0,0,0,0,0,0,1,0,267233.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,2007,0,0,0,0,0,0,0,0,0,43658.0,0,0,0,0,0,0,0,0,0,194351.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,2007,0,0,0,0,0,0,0,0,0,35657.0,0,0,0,0,0,0,0,0,0,352262.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,2017,0,0,0,0,0,0,0,0,0,30103.0,0,0,0,0,0,0,0,1,0,412941.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,2006,0,0,0,0,0,0,0,0,0,15781.0,0,0,0,0,0,1,0,0,0,495000.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,2007,0,0,0,0,0,0,0,0,0,35657.0,0,0,0,0,0,0,0,0,0,504099.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,2008,0,0,0,0,0,0,0,0,0,30103.0,0,0,0,0,0,0,0,0,0,558760.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,39,0,0,0,2007,0,0,0,0,0,0,0,0,0,43658.0,0,0,0,0,0,0,0,0,0,119024.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,2008,0,0,0,0,0,0,0,0,0,43658.0,0,0,0,0,0,0,0,1,0,127543.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,2008,0,0,0,0,0,0,0,0,0,43658.0,0,0,0,0,0,0,0,1,0,127526.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,2009,0,0,0,0,0,0,0,0,0,20192.0,0,0,0,0,0,0,0,1,0,132436.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,2009,0,0,0,0,0,0,0,0,0,30103.0,0,0,0,0,0,0,0,0,0,151876.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,2009,0,0,0,0,0,0,0,0,0,30103.0,0,0,0,0,0,0,0,0,0,151816.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,2011,0,0,0,0,0,0,0,0,0,30103.0,0,0,0,0,0,0,0,0,0,127543.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,2017,0,0,0,0,0,0,0,0,0,9661.0,0,0,0,0,0,0,0,0,0,479927.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,38,0,0,0,2005,0,0,0,0,0,0,0,1,0,27478.0,0,0,0,0,0,0,0,0,0,75178.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,38,0,0,0,2005,0,0,0,0,0,0,0,1,0,44613.99,0,0,0,0,0,0,0,0,0,66825.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,38,0,0,0,2005,0,0,0,0,0,0,0,1,0,44613.99,0,0,0,0,0,0,0,0,0,54661.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,38,0,0,0,2005,0,0,0,0,0,0,0,1,0,12221.0,0,0,0,0,0,0,0,0,0,53447.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38,0,0,0,2005,0,0,0,0,0,0,0,1,0,76800.0,0,0,0,0,0,0,0,0,0,91101.0
